"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
74.0,75.81139014567168,46.0,118.15744952612164,62.0,87.0,0.005,81
155.0,155.21005283069215,102.0278689719271,216.68168557286168,131.0,175.0,0.015,152
129.0,128.96278156207245,90.0,166.0,113.0,144.0,0.025,163
79.0,78.56342332465509,54.0,107.0,69.0,86.0,0.035,67
48.0,48.28298594203525,29.0,69.36642530835742,41.0,56.0,0.045,55
31.0,31.335318902307776,17.0,48.0,25.0,37.0,0.055,27
21.0,22.05063015997054,9.0,39.0,17.0,27.0,0.065,28
15.0,14.906211639675426,5.0,30.0,10.0,18.0,0.075,13
11.0,11.588117584909016,4.0,24.0,8.0,15.0,0.085,3
7.0,8.265602147866417,2.0,18.171406561241703,5.0,10.0,0.095,3
6.0,6.31970687899096,1.0,15.0,4.0,8.0,0.105,4
5.0,5.508294082130017,1.0,14.0,3.0,8.0,0.115,5
4.0,4.3660593515489925,0.0,12.0,2.0,6.0,0.125,1
4.0,4.240629316382344,0.0,11.0,2.0,5.0,0.135,3
4.0,4.824622077220609,0.0,13.0,2.0,6.0,0.145,3
5.0,6.057973681645252,0.0,17.0,3.0,9.0,0.155,3
7.0,8.112996742675207,0.0,24.0,3.0,11.0,0.165,9
9.0,10.826929164723616,1.0,29.0,5.0,16.0,0.175,17
14.0,15.56348415333113,3.0,35.79648903615447,7.482884694449775,22.0,0.185,14
18.0,19.247459251649857,5.0,36.544490448112235,11.0,27.0,0.195,31
21.0,22.034744443999436,8.0,37.92605224966377,16.0,28.0,0.205,27
24.0,23.770273071074072,10.0,37.0,19.0,29.0,0.215,31
24.0,23.775811693035664,8.402637455760628,41.0,18.0,29.21603244922129,0.225,22
22.0,22.031034133175744,5.0,41.0,15.0,29.0,0.235,14
18.0,18.386137655920738,4.0,35.0,11.0,25.0,0.245,12
14.0,15.263966552741282,4.0,35.0,9.0,21.0,0.255,20
11.0,12.237418643833973,2.5649590730494296,26.421434087136166,7.0,17.0,0.265,6
10.0,10.76364026352837,2.0,24.514715411548654,7.0,13.0,0.275,11
11.0,11.03310646641915,3.607903346889884,21.0,8.0,14.0,0.285,10
14.0,13.971178795499387,4.0,26.0,10.0,18.0,0.295,17
19.0,19.5446808094684,5.102838789346872,36.09788084320173,15.0,24.0,0.305,22
27.0,27.45455059362547,10.0,46.0,20.0,35.0,0.315,30
35.0,35.30581487822378,17.0,53.0,28.0,43.0,0.325,32
42.0,42.16387854645532,24.46173792739168,61.0,35.0,50.0,0.335,40
43.0,43.32583905928392,30.0,58.0,38.0,49.0,0.345,37
40.0,40.51160773101471,28.0,56.0,35.0,45.0,0.355,44
34.0,34.20110235628144,20.492338820024813,50.0,28.05420362236023,39.0,0.365,43
24.0,24.9311317124668,11.843239664498277,42.0,19.85576587762445,30.0,0.375,23
17.0,17.2534587308926,6.0,30.22010790221007,12.0,22.0,0.385,19
9.0,10.082625491442414,2.0,23.0,6.0,13.0,0.395,10
4.0,5.1765580147867825,0.0,13.0,3.0,7.0,0.405,4
2.0,2.5199040891747053,0.0,7.6181133612180965,1.0,4.0,0.415,1
1.0,1.0933626700118353,0.0,4.0,0.0,2.0,0.425,1
0.0,0.3750835873601241,0.0,2.0,0.0,1.0,0.435,0
0.0,0.11922829933159454,0.0,1.0,0.0,0.0,0.445,0
0.0,0.035550708990609255,0.0,1.0,0.0,0.0,0.455,0
0.0,0.014977392611352119,0.0,0.0,0.0,0.0,0.465,0
0.0,0.006081496267387868,0.0,0.0,0.0,0.0,0.475,0
0.0,0.0,0.0,0.0,0.0,0.0,0.485,0
0.0,0.0,0.0,0.0,0.0,0.0,0.495,0
0.0,0.0,0.0,0.0,0.0,0.0,0.505,0
0.0,0.0,0.0,0.0,0.0,0.0,0.515,0
0.0,0.0,0.0,0.0,0.0,0.0,0.525,0
0.0,0.0,0.0,0.0,0.0,0.0,0.535,0
