"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
76.0,77.06753151670016,50.0,111.8199287375657,65.0,88.0,0.005,81
156.0,158.37010759624522,112.14046209016948,213.0,140.70136243613254,174.0,0.015,152
129.0,130.00094911931157,99.0,170.76691595664286,118.0,140.0,0.025,163
78.0,79.0816707015506,54.0,104.0,70.0,90.0,0.035,67
49.0,48.5125498945718,28.0,71.41813203757796,41.0,56.0,0.045,55
31.0,30.842060246730085,14.76676827467088,48.68183329558746,25.0,36.0,0.055,27
20.0,20.89632246477656,8.412405290039008,35.0,16.0,26.0,0.065,28
13.0,13.665684860672986,5.0,26.0,10.0,17.0,0.075,13
10.0,10.49086349630605,3.0,21.0,7.0,14.0,0.085,3
7.0,7.664197164026717,1.0,18.0,4.0,10.0,0.095,3
5.0,5.90549690443715,1.0,15.0,3.0,8.0,0.105,4
5.0,5.06486134043697,0.0,12.0,3.0,7.0,0.115,5
4.0,4.473104342576838,0.0,11.0,2.0,6.0,0.125,1
4.0,4.18446483629781,0.0,10.0,2.0,6.0,0.135,3
4.0,4.546596326743363,0.0,12.193180752237827,2.0,6.0,0.145,3
5.0,5.702640950857647,0.0,16.76599355240663,3.0,8.0,0.155,3
6.0,7.423690276392313,1.0,19.72615016590831,4.0,10.0,0.165,9
10.0,11.229617509121379,3.0,26.0,6.0,16.0,0.175,17
15.0,15.732926214997505,4.0,32.0,10.0,20.279975166745004,0.185,14
20.0,20.595989136862634,7.0,35.0,15.0,26.0,0.195,31
25.0,25.02849085730136,12.0,38.0,20.0,30.0,0.205,27
27.0,27.00042167207221,14.0,40.0,22.0,32.0,0.215,31
26.0,25.583543305777955,11.0,40.02228769056388,20.0,30.0,0.225,22
22.0,22.421910753274652,7.0,37.0,17.0,29.0,0.235,14
18.0,18.31444132717973,4.0,33.0,13.0,24.0,0.245,12
14.0,14.20815966508688,3.0,29.0,9.0,19.0,0.255,20
11.0,11.278962177905466,3.0,21.881098980600136,7.0,15.0,0.265,6
9.0,9.851559453299883,3.0,20.0,6.0,13.0,0.275,11
10.0,10.275473393785512,3.0,19.0,7.0,13.0,0.285,10
13.0,13.192811269876985,6.0,24.0,9.311692202085164,16.0,0.295,17
19.0,19.056009105043415,8.0,33.441071293699984,14.0,23.0,0.305,22
26.0,26.621994707746683,12.0,44.0,20.0,32.979169970494596,0.315,30
34.0,34.49883212996395,18.0,53.0,28.0,40.0,0.325,32
41.0,41.49865475158047,26.0,57.65917458078764,35.0,48.0,0.335,40
43.0,43.21034367547783,30.272251473182692,58.0,38.0,48.0,0.345,37
41.0,40.96821699614377,29.736885710359754,54.0,37.0,45.0,0.355,44
36.0,35.74109581861679,22.907801393888057,49.22416315793872,31.0,40.0,0.365,43
25.0,25.37288468053907,11.998186581004752,38.0,21.0,30.0,0.375,23
17.0,17.24358782482067,7.0,31.349810482820775,13.0,21.0,0.385,19
9.0,10.061885374115995,2.1352676097333223,20.276909689292456,7.0,13.0,0.395,10
5.0,5.2627836378778605,0.6563625863292181,13.0,3.0,7.0,0.405,4
2.0,2.5340733930103196,0.0,8.0,1.0,4.0,0.415,1
1.0,1.05628763017199,0.0,4.0,0.0,2.0,0.425,1
0.0,0.3877823424714828,0.0,2.0,0.0,1.0,0.435,0
0.0,0.1321436421661068,0.0,1.0,0.0,0.0,0.445,0
0.0,0.06541144915008656,0.0,1.0,0.0,0.0,0.455,0
0.0,0.00722872169343751,0.0,0.0,0.0,0.0,0.465,0
0.0,0.005681133478081271,0.0,0.0,0.0,0.0,0.475,0
0.0,0.0,0.0,0.0,0.0,0.0,0.485,0
0.0,0.0,0.0,0.0,0.0,0.0,0.495,0
0.0,0.0,0.0,0.0,0.0,0.0,0.505,0
0.0,0.0,0.0,0.0,0.0,0.0,0.515,0
0.0,0.0,0.0,0.0,0.0,0.0,0.525,0
0.0,0.0,0.0,0.0,0.0,0.0,0.535,0
0.0,0.0,0.0,0.0,0.0,0.0,0.545,0
0.0,0.0,0.0,0.0,0.0,0.0,0.555,0
0.0,0.0,0.0,0.0,0.0,0.0,0.565,0
0.0,0.0,0.0,0.0,0.0,0.0,0.575,0
0.0,0.0,0.0,0.0,0.0,0.0,0.585,0
0.0,0.0,0.0,0.0,0.0,0.0,0.595,0
0.0,0.0,0.0,0.0,0.0,0.0,0.605,0
0.0,0.0,0.0,0.0,0.0,0.0,0.615,0
0.0,0.0,0.0,0.0,0.0,0.0,0.625,0
0.0,0.0,0.0,0.0,0.0,0.0,0.635,0
0.0,0.0,0.0,0.0,0.0,0.0,0.645,0
0.0,0.0,0.0,0.0,0.0,0.0,0.655,0
0.0,0.0,0.0,0.0,0.0,0.0,0.665,0
0.0,0.0,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,0
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,0
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,0
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
