"mu","clonalmutations","s","t","cellularity","freq","scmuts","weight"
19.226959939498435,315.4088715322949,0.8799533952809783,8.396559474148523,0.6874820200186562,0.6006,191.0,0.0025336735564945342
16.768307655153073,270.86871416754923,1.7660879790384132,11.599601659828235,0.7027654177052441,0.6156,234.0,0.0028513122058510397
18.363609852192717,361.49964026880394,1.0988177777523376,9.06615586949603,0.6777646786891718,0.6782,164.0,0.0022239861750192077
16.581843875529927,310.2920139022981,0.6297401434343294,6.649640850835575,0.7077013823234987,0.635,183.0,0.002252612683325353
13.568826456217364,329.1978806951573,1.1083347661593128,9.480704246588417,0.7036380198572318,0.6052,209.0,0.003184662159837117
19.139919168393035,279.8729958595143,0.656593944809381,7.232510944082213,0.7293796248012426,0.5575,237.0,0.0030541495089285863
16.547639007525618,360.61002884046286,1.9490335916800594,12.157720982098212,0.6703089767271686,0.587,204.0,0.0037645794813802205
19.62750327205616,238.22676694121233,0.7935505590892383,7.730440384655976,0.725798625503986,0.6349,265.0,0.002491236631103763
19.763011681099975,274.7211107372518,0.7165903483238062,7.525725944649855,0.7140126255118767,0.5802,287.0,0.00275459364575447
17.27806458854498,321.8769375203677,0.8398703087421391,8.393854475895905,0.686691058932689,0.5546,231.0,0.003089053960963348
20.13469482621489,360.106978037648,1.0565825987307305,9.628474009460154,0.689092978394002,0.5226,172.0,0.006393785857601424
16.07568620074813,254.5020122381537,1.0431669700723325,9.173700518083066,0.7369139203611932,0.6086,274.0,0.0023956512750873704
17.707778053775325,329.2764675000708,1.0414424684280839,9.595720040957469,0.67632978442681,0.5144,237.0,0.0023352308026868417
19.550816171793507,236.59166550212475,0.5035965531375001,5.51337116259422,0.7346437763544825,0.6608,263.0,0.0033613411292645573
16.042817376848202,322.57039003226447,0.6182790444060534,6.901043381127131,0.6884791498573866,0.5695,242.0,0.003583006002293624
17.965550954420365,288.5546858387652,0.9468043655429372,8.723359855950306,0.6964238839922079,0.6055,217.0,0.002117172039813947
17.705738005052744,252.39037782064452,0.7718885495525045,7.600618006096687,0.7297213975508271,0.6346,278.0,0.0028678660992775325
18.148019910034968,320.4809181602717,0.6003898500891872,6.639878082330376,0.7172104340394639,0.5953,217.0,0.0020636456108064595
18.15689160708896,303.750866533235,0.6540034380977597,6.675955439401737,0.703373922487776,0.662,225.0,0.002582603417873301
17.505843597759316,252.79334080056293,0.5974782626131924,6.58435160238261,0.7171595799482089,0.6019,273.0,0.00334813554215483
16.099257482434354,301.923607490278,0.5748448276034832,6.022611639592918,0.6845536981244154,0.6735,244.0,0.0020886378594671927
18.37472742266617,336.7801948803816,0.4238206178642561,5.134407543453091,0.7068325706220477,0.5989,195.0,0.002589320416478803
19.20260953755163,268.98458176545773,0.5302997067145223,5.628447197187292,0.7235338874748912,0.6797,238.0,0.002269920569131847
17.172927391884087,325.4142348328551,0.8841222142559665,8.954401257061898,0.7029747362828127,0.4839,258.0,0.002207597164799059
18.890801950925347,299.28794363886595,0.6691117037071368,6.842462741116276,0.7156675465199825,0.651,220.0,0.0018777646629168335
16.649684706209893,293.4363360505871,0.96115547184283,8.438802930049096,0.6820170143094069,0.6745,210.0,0.0037594180981292587
17.516994738287504,253.69174689591887,0.7125698756252333,7.197327964335017,0.7209083826926883,0.6396,288.0,0.002095217755479383
17.840828676015306,253.38306231497546,1.4148131488198845,10.205299008712036,0.7140996818964452,0.6908,257.0,0.0018418406069964294
16.31958631466728,261.5265011744517,0.5867354370200897,6.4162729505285725,0.7439758796333471,0.6186,256.0,0.0025621392587049656
20.79177429427059,255.3499937930029,0.682810731261302,6.4876645130088235,0.7043926335228434,0.727,241.0,0.003533404215510936
17.349380603089838,315.84147230564855,0.7896083370253002,7.441218170642657,0.7161409528376402,0.6835,201.0,0.0021526658890628774
21.9349099192978,343.3702155159182,0.6595861043180772,6.7967642861277255,0.676176410371164,0.6472,191.0,0.003577959739285635
